	model_fit
NB.CTR1	0.7745948062074659
NB.CTR10	0.2749069856792992
NB.CTR12	0.5577674459731581
NB.CTR13	0.758526843674971
NB.CTR14	0.656499076191813
NB.CTR15	0.4757511061211299
NB.CTR16	0.8218266473294256
NB.CTR17	0.8165967092494609
NB.CTR19	0.764848847608904
NB.CTR2	0.8704340284728695
NB.CTR20	0.808090238552035
NB.CTR21	0.7729482264985438
NB.CTR22	0.8599744650093526
NB.CTR23	0.6581024280416852
NB.CTR25	0.6856113111325927
NB.CTR26	0.8529583655054783
NB.CTR28	0.3587721666624295
NB.CTR29	0.7431495807458568
NB.CTR3	0.7797651241480785
NB.CTR30	0.8824537004081321
NB.CTR31	0.5410709178652403
NB.CTR32	0.6428692274725282
NB.CTR33	0.966143023731183
NB.CTR34	0.914627898278913
NB.CTR35	0.8342820210306824
NB.CTR36	0.9726873547008641
NB.CTR37	0.9090103365130525
NB.CTR39	0.9293121453894416
NB.CTR4	0.5064070112215071
NB.CTR40	0.6173773683291748
NB.CTR41	0.7997182888897727
NB.CTR42	0.8161239776175139
NB.CTR43	0.6460413139245286
NB.CTR44	0.9565194009711916
NB.CTR45	0.4057409667709762
NB.CTR46	0.827068864531824
NB.CTR47	0.8964158923891623
NB.CTR48	0.8459417465305382
NB.CTR49	0.5426321253597536
NB.CTR5	0.8426468649455255
NB.CTR50	0.8417325338809903
NB.CTR51	0.7187058651943841
NB.CTR52	0.31132105427244916
NB.CTR53	0.8886284342256896
NB.CTR54	0.7418557270250731
NB.CTR55	0.8914090809255208
NB.CTR56	0.5403103191248092
NB.CTR57	0.8356900434795156
NB.CTR58	0.7461631626446146
NB.CTR59	0.7894422081395653
NB.CTR6	0.5648657354405116
NB.CTR60	0.8597900477806877
NB.CTR61	0.81054702670418
NB.CTR62	0.6020905812122724
NB.CTR63	0.5993754852938302
NB.CTR64	0.6304744265068404
NB.CTR65	0.6724678609695143
NB.CTR66	0.7582010376275625
NB.CTR67	0.8183692809883889
NB.CTR68	0.8056225148342969
NB.CTR69	0.6485880191245541
NB.CTR7	0.40397836276659455
NB.CTR71	0.5053397251971802
NB.CTR72	0.13261071671353966
NB.CTR73	0.3459404703638618
NB.CTR74	0.7177431141015284
NB.CTR75	0.7806512744182453
NB.CTR76	0.8330407404891981
NB.CTR77	0.8450476487227646
NB.CTR78	0.8213665347864447
NB.CTR79	0.8568071473194382
NB.CTR8	0.7213210120276367
NB.CTR80	0.8441502647077875
NB.CTR81	0.752240432841199
NB.CTR82	0.7068649351970301
NB.CTR83	0.46803191186726195
NB.CTR84	0.8415861410333363
NB.CTR85	0.7247400323750137
NB.CTR86	0.7681749399750937
NB.CTR87	0.720011682059414
NB.CTR88	0.6622821050685683
NB.CTR89	0.8623476045010616
NB.CTR9	0.8055575262478166
NB.CTR90	0.8340566796733178
NB.CTR91	0.780281603771733
NB.CTR92	0.37130915520145413
NB.CTR93	0.8627559247319725
NB.CTR94	0.8441684323829712
NB.CTR95	0.9184241618909126
NB.CTR96	0.6407045341609203
NB.F.PZ18A	0.7138431620011715
NB.F.PZ28A	0.8507041587068124
NB.F.PZ28B	0.5812722855773944
NB.M.CTR1	0.6822404421407504
NB.M.CTR10	0.21687638789082964
NB.M.CTR12	0.739484212854109
NB.M.CTR13	0.7949913279949413
NB.M.CTR14	0.39537015587220103
NB.M.CTR15	0.8955404467573521
NB.M.CTR16	0.9076694214416796
NB.M.CTR19	0.5924117175119408
NB.M.CTR2	0.7381962090050528
NB.M.CTR20	0.54279500437922
NB.M.CTR21	0.6172145028789991
NB.M.CTR22	0.6140560443675592
NB.M.CTR23	0.5817547872471641
NB.M.CTR25	0.7929017292780128
NB.M.CTR26	0.5162768317852607
NB.M.CTR28	0.5709200269116682
NB.M.CTR29	0.44957280875694866
NB.M.CTR3	0.46819453926061316
NB.M.CTR30	0.8291194152249176
NB.M.CTR31	0.8635259679948185
NB.M.CTR32	0.8340896887526892
NB.M.CTR33	0.7241031291828133
NB.M.CTR34	0.5571629395653396
NB.M.CTR35	0.806853735848413
NB.M.CTR36	0.8987253408097161
NB.M.CTR37	0.6278508759993345
NB.M.CTR39	0.6721690487816844
NB.M.CTR4	0.4467833520732257
NB.M.CTR40	0.5876117358407794
NB.M.CTR41	0.7818768795461433
NB.M.CTR42	0.6266159565837519
NB.M.CTR43	0.6179312310934688
NB.M.CTR44	0.4190624917187778
NB.M.CTR45	0.5779245078227513
NB.M.CTR46	0.8537257267397454
NB.M.CTR47	0.6336465780925985
NB.M.CTR48	0.7498677862020825
NB.M.CTR49	0.9251303470685162
NB.M.CTR5	0.8612495186946421
NB.M.CTR50	0.9535911997917562
NB.M.CTR51	0.84286684291287
NB.M.CTR52	0.6577397132055498
NB.M.CTR53	0.5983457738118755
NB.M.CTR54	0.5449590364465189
NB.M.CTR55	0.7382362808075212
NB.M.CTR56	0.569594009450276
NB.M.CTR57	0.7119700420770755
NB.M.CTR58	0.6881811402243921
NB.M.CTR59	0.6271550472624361
NB.M.CTR6	0.7973680834308106
NB.M.CTR60	0.33629426180080224
NB.M.CTR61	0.8048329890383542
NB.M.CTR62	0.6417152033189087
NB.M.CTR63	0.8353440293662437
NB.M.CTR64	0.6725578017331851
NB.M.CTR7	0.7551635712820386
NB.M.CTR8	0.6984251739314895
NB.M.CTR9	0.29528980251904646
NB.M.PZ1	0.4067543660222953
NB.M.PZ10	0.7137876626079594
NB.M.PZ11	0.7672638643067602
NB.M.PZ12	0.625376246287111
NB.M.PZ13	0.7159070644144648
NB.M.PZ14	0.5878204535926463
NB.M.PZ15	0.608494023153508
NB.M.PZ16	0.7942033927777546
NB.M.PZ17	0.7675041633448897
NB.M.PZ18	0.8740532229291478
NB.M.PZ19.1	0.9030853506912478
NB.M.PZ2	0.9555485362883932
NB.M.PZ20	0.8272744300171244
NB.M.PZ21	0.9164593543886029
NB.M.PZ22	0.5769051391447054
NB.M.PZ23	0.7672390120800985
NB.M.PZ24	0.41816257005290214
NB.M.PZ25	0.8142683815585154
NB.M.PZ26	0.45478982927838313
NB.M.PZ27	0.43909194132975843
NB.M.PZ28	0.7401738639662184
NB.M.PZ29	0.6095182661595314
NB.M.PZ3	0.8996220389682741
NB.M.PZ31	0.8069010024060028
NB.M.PZ32	0.7602978372720048
NB.M.PZ33	0.4306258537779064
NB.M.PZ4	0.7608871413013203
NB.M.PZ5	0.7313543949911349
NB.M.PZ6	0.6338206797389785
NB.M.PZ7	0.7819993574666235
NB.M.PZ8	0.6340356638467346
NB.M.PZ9	0.667096305583646
NB.PZ1.E1	0.6522450670147556
NB.PZ1.T1.1	0.9597390553288938
NB.PZ1.T1.2	0.919362024723715
NB.PZ1.T2.1	0.8555363513752173
NB.PZ10.E1	0.8220319127493274
NB.PZ11.E1	0.43570746491070556
NB.PZ11.T1.1	0.6440646153964126
NB.PZ11.T2.1	0.3993275997815133
