L5	S1	S2	S3	S4	S5	S6
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.06793132823876151	0.019861701468448546	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	0.02012716432220628	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.7209876735706742	0.0	0.0	0.025948021389229914	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.24785846467057876	0.011875775324556477	0.2972575236272313	2.245731030502752e-11	0.2972710207450819	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	0.0710066064258706	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	0.022515241531020556	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.00029648645348596237	0.014769448466846205	0.00036347764835764504	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	0.0012822891764836628	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.0054746790045681545	0.046843721623753415	0.0027826741701779912	1.3919894235315738e-15	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	0.00040115904581755884	0.010894512705289502	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.003255513911109456	0.0	0.0	2.9376230124276734e-06	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	0.026016218523971357	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0	0.0	0.004513282474905062	0.0	0.19086196826597424	0.0
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	0.03491826448897807	2.884355396519098e-14	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	0.036710960437000506	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.0011882487285766817	0.0011074272787515546	0.00040447130805531904	0.0	0.0008501134393675349	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	8.076339808188829e-06	8.356456859513208e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	0.05112501915958521	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	1.8496054134781347e-07	5.95758136798526e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.0003827191347912612	9.537443080194727e-05	1.0437397682767346e-05	0.0	0.00043642627684515483	0.001212303955116219
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.03347051558666244	0.01510946855700391	0.0005784162659571396	2.622667811061831e-05	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	0.032347929994194814	0.00481227621233938	0.0	0.0	0.0	0.049780602405817026
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0.0018639757077980406	0.0	0.0	0.0	0.0017554751250268945	7.506720322512236e-05
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.0018092696247568936	0.0030199991281269958	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.0024943180573676477	0.0015334660052155134	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	0.0007534731942901456	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.5006007897055078	2.2240478028761318e-08	0.010755661704049756	0.043376011456006947	0.0	1.3014530398097364e-08
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.00012680756207627845	0.0062288152255319685	0.00046003147755514843	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.03817113770704947	0.0	0.041756985298128504	0.02066583851287728	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.0	0.0	0.0	0.0	0.00012164230511783295	0.008167829921809443
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium	0.005960554724438026	0.0	0.0	0.009225820593265766	0.00018750627169506127	0.2589468209164976
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;?	0.007907519668469873	0.010296477947675431	3.087584787204489e-06	1.2846681737388708e-05	0.0	0.00018324868873281758
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAG-1427	0.04483844978050047	0.0031946397536406863	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	0.0	0.00024746104949383203	0.0	0.0	0.16548362079003573	0.05708100810872822
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum	0.03105586293830041	0.0046450021960025515	0.0031896642979478565	0.003141069335780985	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium	0.0011834130540491765	0.04122734007136353	0.17632560929658475	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;QANA01	0.0007184827684871603	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.04936236125111817	3.140576487893904e-05	0.017130853929962195	0.0	0.6205341751169445	0.7041032340105672
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.3100128587102142	0.05541436893250322	0.40928771839016537	0.008832302705029901	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.00045991116693761897	0.0	0.0	2.1784448719603094e-09	3.731285514598767e-09	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.02335543199735451	0.01713447620265976	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.0019221735856053406	0.0	0.0	0.0006551230259964032	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	0.03933459500211173	0.0016105229637688118	0.009212120402301405	0.019316204319958036	0.0	0.008473149435296952
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.012329831722439205	0.07053579714797575	0.04085930821712209	8.922474361323589e-10	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.0001399681465138813	0.001068608344709705	0.00018636132905360388	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	0.0030343695549761287	3.638138943069682e-15	0.003673521016263113	0.016010609372518386	0.00010947482181104766	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.02279519252331108	0.0	0.022632438326612648	0.005172261535117951	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.0006637503539274022	0.0001716324748679452	0.0	0.0	0.0	0.0
