	is_monodominant	signature_name
NB.PZ7.E1	False	
NB.PZ8.E1	False	
NB.PZ8.T1.1	False	
NB.PZ9.E1	False	
NB.PZ9.T1.1	False	
FB233	False	
FB232	False	
FB231	False	
FB230	False	
FB227	False	
FB226	False	
FB225	False	
FB224	False	
FB223	False	
FB221	True	S4
FB220	False	
FB219	False	
FB218	False	
FB217	False	
FB216	False	
FB215	False	
FB214	False	
FB213	False	
FB211	True	S6
FB210	False	
FB209	False	
FB207	False	
FB206	False	
FB203	False	
FB201	True	S1
FB199	False	
FB197	True	S4
FB196	True	S4
FB195	False	
FB194	False	
FB193	False	
FB192	False	
FB190	False	
FB189	False	
FB186	True	S5
FB182	False	
FB165	False	
FB164	False	
FB163	False	
FB162	True	S1
FB161	False	
FB160	False	
FB159	False	
FB158	False	
FB156	False	
FB155	False	
FB154	False	
FB152	False	
FB151	False	
FB150	False	
FB149	False	
FB148	False	
FB147	False	
FB146	False	
FB145	False	
FB144	False	
FB143	False	
FB142	False	
FB141	False	
FB140	False	
FB139	False	
FB138	False	
FB137	False	
FB136	True	S1
FB135	False	
FB134	False	
FB133	False	
FB132	False	
FB131	False	
FB130	False	
FB128	False	
FB127	False	
FB126	False	
FB125	False	
FB124	False	
FB123	False	
FB122	False	
FB121	False	
FB120	False	
FB119	False	
FB118	True	S5
FB117	True	S1
FB116	False	
FB115	False	
FB114	False	
FB113	False	
FB112	False	
FB111	False	
FB110	False	
FB109	False	
FB108	False	
FB107	False	
FB106	False	
FB105	False	
FB104	False	
FB103	False	
FB102	False	
FB101	False	
FB100	False	
FB099	True	S4
FB097	False	
FB096	False	
FB095	False	
FB094	False	
FB093	False	
FB092	False	
FB091	True	S4
FB090	False	
FB089	False	
FB088	False	
FB087	False	
FB086	False	
FB085	False	
FB084	False	
FB083	False	
FB082	False	
FB081	False	
FB080	False	
FB079	False	
FB078	False	
FB077	False	
FB076	False	
FB074	False	
FB073	True	S6
FB072	False	
FB069	False	
FB068	False	
FB067	False	
FB066	True	S2
FB065	False	
FB064	True	S4
FB062	False	
FB061	False	
FB059	False	
FB058	True	S2
FB057	True	S1
FB056	False	
FB055	False	
FB054	True	S4
FB052	False	
FB051	False	
FB050	True	S4
FB049	False	
FB048	False	
FB047	False	
FB046	False	
FB045	False	
FB043	False	
FB041	False	
FB040	False	
FB039	False	
FB037	False	
FB036	True	S4
FB034	False	
FB033	False	
FB032	False	
FB031	False	
FB029	False	
FB028	False	
FB027	True	S1
FB026	False	
FB025	False	
FB024	False	
FB023	False	
FB022	False	
FB021	False	
FB020	False	
FB019	False	
FB018	False	
FB015	False	
FB014	True	S4
FB013	True	S2
FB012	False	
FB011	False	
FB010	False	
FB009	False	
FB008	False	
FB007	False	
FB005	False	
FB004	False	
FB002	False	
DC102	False	
DC101	False	
DC100	False	
DC099	False	
DC098	False	
DC097	False	
DC096	False	
DC095	False	
DC094	False	
DC093	False	
DC092	False	
DC091	False	
DC090	False	
DC089	False	
DC088	False	
DC087	False	
DC086	False	
DC085	False	
DC084	False	
DC083	False	
DC082	False	
DC081	False	
DC080	False	
DC079	False	
DC077	False	
DC076	False	
DC073	False	
DC071	False	
DC070	False	
DC066	False	
DC055	False	
DC054	False	
DC052	False	
DC051	False	
DC050	True	S1
DC049	False	
DC048	False	
DC047	True	S1
DC046	False	
DC045	True	S1
DC044	False	
DC043	False	
DC042	False	
DC041	False	
DC040	False	
DC039	False	
DC038	False	
DC037	False	
DC036	False	
DC035	False	
DC034	False	
DC033	False	
DC032	False	
DC031	False	
DC030	False	
DC029	False	
DC027	False	
DC026	False	
DC025	False	
DC024	False	
DC022	False	
DC021	False	
DC020	False	
DC019	False	
DC018	False	
DC017	False	
DC016	False	
DC015	False	
DC014	False	
DC013	False	
DC012	False	
DC011	False	
DC010	False	
DC009	False	
DC008	False	
DC007	False	
DC006	False	
DC005	False	
DC004	False	
DC003	False	
DC002	False	
DC001	False	
Mong.A10	False	
Mong.A102	False	
Mong.A103	False	
Mong.A104	False	
Mong.A108	False	
Mong.A11	False	
Mong.A111	False	
Mong.A112	False	
Mong.A124	False	
Mong.A125	False	
Mong.A126	False	
Mong.A127	False	
Mong.A129	False	
Mong.A130	False	
Mong.A134	False	
Mong.A135	False	
Mong.A137	False	
Mong.A142	False	
Mong.A149	False	
Mong.A15	False	
Mong.A151	False	
Mong.A162	False	
Mong.A163	False	
Mong.A165	False	
Mong.A171	True	S3
Mong.A19	False	
Mong.A31	False	
Mong.A34	False	
Mong.A36	False	
Mong.A37	False	
Mong.A38	False	
Mong.A40	False	
Mong.A41	True	S3
Mong.A43	False	
Mong.A46	False	
Mong.A49	False	
Mong.A50	False	
Mong.A54	False	
Mong.A55	False	
Mong.A57	False	
Mong.A58	False	
Mong.A6	False	
Mong.A62	False	
Mong.A64	False	
Mong.A65	False	
Mong.A72	False	
Mong.A73	False	
Mong.A74	False	
Mong.A77	False	
Mong.A89	False	
Mong.A93	False	
Mong.A94	False	
Mong.A95	False	
Mong.A97	False	
Mong.B1	False	
Mong.B10	False	
Mong.B102	False	
Mong.B103	False	
Mong.B104	False	
Mong.B108	False	
Mong.B11	False	
Mong.B111	False	
Mong.B112	False	
Mong.B124	False	
Mong.B125	False	
Mong.B126	False	
Mong.B127	False	
Mong.B129	False	
Mong.B130	False	
Mong.B134	False	
Mong.B135	False	
Mong.B137	False	
Mong.B142	False	
Mong.B149	False	
Mong.B15	False	
Mong.B151	False	
Mong.B152	True	S3
Mong.B162	False	
Mong.B163	False	
Mong.B165	False	
Mong.B171	True	S3
Mong.B19	False	
Mong.B31	False	
Mong.B34	False	
Mong.B36	False	
Mong.B37	False	
Mong.B38	False	
Mong.B40	False	
Mong.B41	False	
Mong.B43	False	
Mong.B46	False	
Mong.B49	False	
Mong.B50	False	
Mong.B54	False	
Mong.B55	False	
Mong.B57	False	
Mong.B58	False	
Mong.B59	False	
Mong.B6	False	
Mong.B62	False	
Mong.B64	False	
Mong.B65	False	
Mong.B72	False	
Mong.B73	False	
Mong.B74	False	
Mong.B77	False	
Mong.B82	False	
Mong.B89	False	
Mong.B91	False	
Mong.B93	False	
Mong.B94	False	
Mong.B95	False	
Mong.B97	False	
Mong.C1	True	S1
Mong.C10	False	
Mong.C102	False	
Mong.C103	False	
Mong.C104	False	
Mong.C108	False	
Mong.C11	False	
Mong.C111	False	
Mong.C112	False	
Mong.C124	False	
Mong.C125	False	
Mong.C126	False	
Mong.C127	True	S3
Mong.C129	False	
Mong.C130	False	
Mong.C134	False	
Mong.C135	False	
Mong.C137	False	
Mong.C142	False	
Mong.C149	False	
Mong.C15	False	
Mong.C151	False	
Mong.C152	False	
Mong.C162	False	
Mong.C163	False	
Mong.C165	False	
Mong.C19	False	
Mong.C31	False	
Mong.C34	False	
Mong.C36	False	
Mong.C37	False	
Mong.C38	False	
Mong.C40	False	
Mong.C41	False	
Mong.C43	True	S1
Mong.C46	False	
Mong.C49	False	
Mong.C50	False	
Mong.C54	False	
Mong.C55	True	S1
Mong.C57	False	
Mong.C58	False	
Mong.C59	False	
Mong.C6	False	
Mong.C62	False	
Mong.C64	False	
Mong.C65	False	
Mong.C72	False	
Mong.C73	False	
Mong.C74	False	
Mong.C77	False	
Mong.C82	False	
Mong.C89	False	
Mong.C91	False	
Mong.C93	False	
Mong.C94	False	
Mong.C95	False	
X126.CTR.1M	False	
X126.CTR.6M	False	
X128.CTR.1M	False	
X128.CTR.6M	False	
X13.CTR.1M	False	
X135.CTR.1M	True	S6
X142.CTR.6M	False	
X15.ABX.1M	False	
X15.ABX.6M	False	
X165.ABX.6M	False	
X179.CTR.6M	False	
X184.CTR.1M	True	S5
X184.CTR.6M	True	S5
X21.CTR.6M	False	
X86.ABX.1M	True	S6
X86.ABX.6M	True	S5
XS121.1M	False	
XS164.1M	True	S6
Aa1	False	
Aa2	False	
Aa3	False	
Aa4	False	
Aa5	False	
Aa6	False	
Aa7	False	
Aa8	False	
Aa9	False	
Aa10	False	
Aa11	False	
Aa12	False	
Aa13	False	
Aa14	False	
Aa15	True	S5
Aa16	False	
Aa17	True	S5
Aa18	True	S5
Aa19	False	
Aa20	False	
Aa21	False	
Aa22	False	
Aa23	False	
Aa24	False	
Aa25	False	
Aa26	False	
Aa27	True	S5
Aa28	True	S6
Aa29	True	S5
Aa30	False	
Aa31	False	
Aa32	False	
Aa33	False	
Aa34	True	S6
Aa35	False	
Aa36	False	
Aa37	False	
Aa38	False	
Aa39	False	
Aa40	False	
Aa41	True	S5
Aa42	True	S2
Aa43	False	
Aa44	False	
Aa45	False	
Aa46	True	S2
Aa47	False	
Aa48	False	
Aa49	False	
Aa50	False	
Aa51	False	
Aa52	False	
Aa53	False	
Aa54	True	S6
Aa55	True	S5
Aa57	True	S5
Aa58	False	
Aa59	False	
Aa60	True	S4
Aa61	False	
Aa62	False	
Aa63	False	
Aa64	False	
Aa65	False	
ABR.1.0	False	
ABR.1.C1	False	
ABR.1.C3	False	
ABR.1.C6	False	
ABR.1.P2	False	
ABR.1.P28	False	
ABR.2.0	False	
ABR.2.C1	False	
ABR.2.C3	False	
ABR.2.C6	False	
ABR.2.P2	False	
ABR.2.P28	False	
AL.AA1	False	
AL.AA10	False	
AL.AA11	False	
AL.AA12	False	
AL.AA13	False	
AL.AA14	False	
AL.AA17	False	
AL.AA18	False	
AL.AA19	False	
AL.AA2	False	
AL.AA20	True	S1
AL.AA21	False	
AL.AA22	True	S1
AL.AA23	False	
AL.AA24	False	
AL.AA25	False	
AL.AA26	False	
AL.AA27	False	
AL.AA28	False	
AL.AA29	False	
AL.AA3	False	
AL.AA30	False	
AL.AA4	False	
AL.AA5	False	
AL.AA6	False	
AL.AA7	False	
AL.AA8	False	
AL.AA9	False	
AL.APLV1	False	
AL.APLV10	False	
AL.APLV11	False	
AL.APLV12	False	
AL.APLV13	False	
AL.APLV14	False	
AL.APLV15	False	
AL.APLV16	True	S1
AL.APLV17	True	S1
AL.APLV18	False	
AL.APLV19	True	S1
AL.APLV2	True	S1
AL.APLV20	False	
AL.APLV21	False	
AL.APLV22	False	
AL.APLV23	False	
AL.APLV24	False	
AL.APLV26	False	
AL.APLV27	False	
AL.APLV28	False	
AL.APLV29	False	
AL.APLV3	True	S5
AL.APLV30	False	
AL.APLV4	False	
AL.APLV5	False	
AL.APLV6	False	
AL.APLV7	False	
AL.APLV8	False	
AL.APLV9	False	
AL.AR01	False	
AL.AR02	False	
AL.AR03	False	
AL.AR04	False	
AL.AR05	False	
AL.AR06	False	
AL.AR07	False	
AL.AR08	False	
AL.AR09	False	
AL.AR10	False	
AL.AR11	False	
AL.AR12	False	
AL.AR13	True	S1
AL.AR14	False	
AL.AR15	False	
AL.AR16	False	
AL.AR17	False	
AL.AR18	False	
AL.AR19	False	
AL.AR20	False	
AL.AR21	False	
AL.AR22	False	
AL.AR23	False	
AL.AR24	False	
AL.AR25	True	S1
AL.AR26	False	
AL.AR27	False	
AL.AR28	False	
AL.AR29	False	
AL.AR30	False	
AL.C1	False	
AL.C10	False	
AL.C11	False	
AL.C12	False	
AL.C13	False	
AL.C14	False	
AL.C15	False	
AL.C16	False	
AL.C17	False	
AL.C18	False	
AL.C19	False	
AL.C2	False	
AL.C20	False	
AL.C21	False	
AL.C22	False	
AL.C23	False	
AL.C24	False	
AL.C25	False	
AL.C26	False	
AL.C29	False	
AL.C3	False	
AL.C30	False	
AL.C4	False	
AL.C5	False	
AL.C6	False	
AL.C7	False	
AL.C8	False	
AL.C9	False	
Baek1.12M	False	
Baek1.4M	False	
Baek1.B	False	
Baek1.M	False	
Baek7.12M	False	
Baek7.4M	True	S5
Baek7.B	False	
Baek7.M	False	
Baek9.12M	False	
Baek9.4M	False	
Baek9.B	True	S4
Baek9.M	False	
Baek10.12M	False	
Baek10.4M	False	
Baek10.B	False	
Baek10.M	False	
Baek12.12M	False	
Baek12.4M	False	
Baek12.B	True	S4
Baek12.M	False	
Baek18.12M	False	
Baek18.4M	False	
Baek18.B	False	
Baek18.M	False	
Baek26.12M	False	
Baek26.4M	True	S5
Baek26.B	True	S6
Baek26.M	False	
Baek38.12M	False	
Baek38.4M	False	
Baek38.B	True	S4
Baek38.M	False	
Baek39.12M	False	
Baek39.4M	False	
Baek39.B	False	
Baek39.M	False	
Baek42.12M	False	
Baek42.4M	False	
Baek42.B	False	
Baek42.M	False	
Baek45.12M	False	
Baek45.4M	False	
Baek45.B	True	S4
Baek45.M	False	
Baek51.12M	False	
Baek51.4M	True	S4
Baek51.B	True	S5
Baek51.M	False	
Baek53.12M	False	
Baek53.4M	False	
Baek53.B	False	
Baek53.M	False	
Baek70.12M	False	
Baek70.4M	False	
Baek70.B	True	S4
Baek70.M	False	
Baek78.12M	False	
Baek78.4M	False	
Baek78.B	False	
Baek78.M	False	
Baek82.12M	False	
Baek82.4M	False	
Baek82.B	False	
Baek82.M	False	
Baek87.12M	False	
Baek87.4M	False	
Baek87.B	True	S6
Baek87.M	False	
Baek103.12M	False	
Baek103.4M	True	S6
Baek103.B	False	
Baek103.M	False	
Baek105.12M	False	
Baek105.4M	False	
Baek105.B	True	S5
Baek105.M	False	
Baek128.12M	False	
Baek128.4M	False	
Baek128.B	False	
Baek128.M	False	
Baek130.12M	False	
Baek130.4M	False	
Baek130.B	True	S5
Baek130.M	False	
Baek133.12M	False	
Baek133.4M	False	
Baek133.B	False	
Baek133.M	False	
Baek137.12M	False	
Baek137.4M	False	
Baek137.B	False	
Baek137.M	False	
Baek150.12M	False	
Baek150.4M	False	
Baek150.B	False	
Baek150.M	False	
Baek157.12M	False	
Baek157.4M	False	
Baek157.B	True	S5
Baek157.M	False	
Baek172.12M	False	
Baek172.4M	False	
Baek172.B	False	
Baek172.M	False	
Baek179.12M	False	
Baek179.4M	False	
Baek179.B	False	
