L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0.0	0.0	0.9865897982000797	0.013410201799920276	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0.0	0.0	0.0048386343019345595	0.0	0.0	0.0	0.9951613656980655	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.21967156059407503	0.780328439405925	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.0	0.0	0.07395345408666253	0.05162204919468324	0.0	0.0	0.8744244967186543	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.4598767616719054	0.2044260182299803	0.025594559042360025	0.21269867818537364	0.0	0.0	0.09740398287038064	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	0.0	0.0	0.0	0.06876186088193562	0.0	0.0	0.9312381391180644	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.0	0.026857959807154864	0.9500501196748191	0.023091920518026145	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	0.0	0.0	0.0007258199977208538	0.002905743944233926	0.0	0.0	0.9963684360580451	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.0	0.05825541299037388	0.8510595124305897	0.09068507457903635	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	0.0	0.0	0.9999960844631641	3.9155368359900646e-06	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.0	0.0	8.748448741302288e-12	0.021911420023228895	0.0	0.0	0.9780885799680227	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.9996376142837258	2.1226651483094622e-11	0.0	0.0	0.0	2.300816739765515e-11	0.0	0.00036238567203941
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	1.9759308079402885e-05	0.9999802406919206	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.3067973802008787	0.043006385861108096	0.362332318598194	0.28786391533981914	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	0.0	0.0	0.9528059215378478	0.04719407846215215	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.08646916241663267	0.03197721363712105	0.029159971875089948	0.09759742645735482	0.0	0.13523583668058337	0.12375197772362428	0.49580841120959396
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.0	0.003211552670373634	0.42368081889457804	0.4596778991445193	0.037066031337340495	0.0	0.07636369795318855	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	0.0	0.0	0.05739201276762898	0.08397585290616252	0.0	0.0	0.8586321343262086	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.0	0.0	0.8921449929171901	0.06600563826191583	0.0	0.0	0.04184936882089416	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.0	0.0	0.42106148712138997	0.57893851287861	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	0.0	0.0	0.0	0.5604379119375531	0.0	0.0	0.43956208806244695	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.0	0.003352254529865906	0.004863411895896658	0.6399474082838705	0.00016521915807743908	0.0	0.3516717061322893	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.0	0.06327522461654482	0.9367247753834552	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.0	0.3657805407435884	0.0	0.35832792974264355	0.13540204540628756	0.0	0.14048948410748052	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.0	0.0	0.0	0.0	0.0	0.08448052635702423	0.7441409391233541	0.17137853451962187
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium	0.0	0.0	0.0	0.0	0.0	1.9840738664122668e-10	0.9797716101594661	0.02022838964212642
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;?	0.0	3.206986126631e-05	0.4053487249175981	0.2523824750909164	0.0	0.0	0.3422367301302193	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAG-1427	0.0	0.0	0.14297742307400932	0.8553497414791266	0.0	0.0	0.0016728354468640823	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	0.908322378898884	0.0	0.0012010993127769074	0.0	0.0	0.007055991240578623	1.570651409260231e-06	0.08341895989635109
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum	0.0	0.0633902058730496	0.09215827171062199	0.7334930622546906	0.0437546457795834	0.0	0.06720381438205458	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium	0.0	0.8036502745043059	0.1822185847980893	0.014131140697604832	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;QANA01	0.0	0.0	0.00809343540038206	0.9919065645996179	0.0	0.0	0.0	0.0
