L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;?	0.0	0.0	8.228985371038325e-05	3.080748857151913e-05	0.0	0.0	8.443739828908717e-06	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0.0	0.0	0.0027099032793471136	3.683430530156437e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0.0	0.0	5.81816117259066e-05	0.0	0.0	0.0	0.011966205456055742	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.0	0.0	0.0749524308839236	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.0187504236816784	0.06660620432683649	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	0.0	0.019460755062877914	0.0	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.0	0.0	0.1000920944866242	0.06986771732842234	0.0	0.0	1.1834873763221168	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.43856858840819524	0.19495403490945215	0.024408647197847303	0.20284338506019167	0.0	0.0	0.0928908151772971	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	0.0	0.06865558174906218	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	0.0	0.0	0.0	0.002839443056901321	0.0	0.0	0.038454422764686254	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.0	0.0004013437751885979	0.01419678577175825	0.00034506710947533506	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	0.0	0.0	1.799987261379994e-06	7.206059492541938e-06	0.0	0.0	0.0024709301179041626	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.0	0.003156577577672956	0.046114776916053875	0.004913783258099751	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	0.0	0.0	0.011120143702599825	4.3541502777390574e-08	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.0	0.0	5.428251129739007e-14	0.0001359563209575058	0.0	0.0	0.006068859287167636	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	0.0	0.025154823016907486	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.22851919805083046	4.852455834904675e-12	0.0	0.0	0.0	5.259714007559445e-12	0.0	8.284210395473653e-05
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	6.671164420962394e-07	0.03376146865346586	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	0.0	0.035495462636991854	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.0011581192211263505	0.00016234337484992366	0.0013677562120285773	0.0010866479146772656	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	0.0	0.0	8.667067215038046e-05	4.29294403967455e-06	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	0.0	0.049432272699831914	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	0.0	0.0	5.787363425252712e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.00023490842868458054	8.687162913656647e-05	7.921810483903025e-05	0.00026514028183007054	0.0	0.0003673915302129687	0.00033619364200148646	0.001346949265504169
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.0	0.00017594108919731863	0.02321084920573686	0.025182906387150338	0.0020306183939854	0.0	0.004183494269597624	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	0.0	0.0	0.007020924059137401	0.010272998935280544	0.0	0.0	0.1050388498177849	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.006699460543024849	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.0	0.0	0.004891628060334044	0.0003619086973816771	0.0	0.0	0.0002294599515289283	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.0	0.0	0.0017684393213113904	0.0024315157337125755	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	0.0	0.0	0.0	0.0005581679737713548	0.0	0.0	0.00043778173248896834	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.0	0.0023176135355593356	0.003362366770932891	0.4424338194701888	0.00011422586014353371	0.0	0.24313162945835176	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.0	0.0004216277016275374	0.00624176550136226	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.0	0.03963171222119213	0.0	0.03882423423484133	0.01467058604810934	0.0	0.01522180155601678	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.0	0.0	0.0	0.0	0.0	0.0008987916108610496	0.007916944439429658	0.001823302904824878
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium	0.0	0.0	0.0	0.0	0.0	7.18613964083214e-11	0.35486459077556765	0.007326543388242886
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;?	0.0	6.879716419629529e-07	0.008695654325829773	0.005414179511071832	0.0	0.0	0.007341758145211023	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAG-1427	0.0	0.0	0.007398473078885201	0.04426070843428917	0.0	0.0	8.656211416415308e-05	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	0.2287947236907169	0.0	0.0003025414674083399	0.0	0.0	0.0017773134338155724	3.9562688704395983e-07	0.021012162997887898
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum	0.0	0.0028358108708720175	0.004122772992426411	0.03281339082281465	0.0019573985987896866	0.0	0.0030064156562349914	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium	0.0	0.1729623969274697	0.03921726177577515	0.0030413179014772457	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;QANA01	0.0	0.0	6.164391930613094e-06	0.0007554889265504484	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.384044707229154	0.014715172271558854	0.0	0.0420175554490017	0.0	0.03929668803666738	0.023063281522733296	1.2758754501739487
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.0	0.41608391185694416	0.05978683022610178	0.31363817010331685	0.009160589243079227	0.0	0.0035902914582627153	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.0	0.0	0.0	0.00013746608827875813	0.0	0.0	0.000639819144508345	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.0	0.0	0.019443688098434976	0.022621974290445105	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.0	0.0	0.0	0.00027271467835882096	4.476776302350891e-16	0.0	0.004395429510608188	0.0
