	model_fit
NB.CTR1	0.838451170715909
NB.CTR10	0.41769568218784353
NB.CTR12	0.5584496175251782
NB.CTR13	0.7890345079486568
NB.CTR14	0.669591265235759
NB.CTR15	0.47368470273597135
NB.CTR16	0.8311310771741632
NB.CTR17	0.8449554470776645
NB.CTR19	0.8247635386718135
NB.CTR2	0.9254717620595636
NB.CTR20	0.8606561852604473
NB.CTR21	0.7968310843101118
NB.CTR22	0.8766824359258051
NB.CTR23	0.7111140430870543
NB.CTR25	0.6951790369669579
NB.CTR26	0.8550791539991247
NB.CTR28	0.40053858601935594
NB.CTR29	0.7513627336105387
NB.CTR3	0.8487713168109987
NB.CTR30	0.8888109932723787
NB.CTR31	0.9912247861054282
NB.CTR32	0.6423411162425027
NB.CTR33	0.9724241570130362
NB.CTR34	0.9206149395658056
NB.CTR35	0.8743701427071375
NB.CTR36	0.9914847031184604
NB.CTR37	0.9916837656950259
NB.CTR39	0.974652104064144
NB.CTR4	0.5030030847761467
NB.CTR40	0.7238086016342261
NB.CTR41	0.8549278441750395
NB.CTR42	0.9585357061237105
NB.CTR43	0.7191435633667509
NB.CTR44	0.9596143565950299
NB.CTR45	0.43259380076742915
NB.CTR46	0.8433874429321508
NB.CTR47	0.902097117985041
NB.CTR48	0.8634195581672135
NB.CTR49	0.5733296358929582
NB.CTR5	0.852227395260944
NB.CTR50	0.8485197900286919
NB.CTR51	0.7379990328483126
NB.CTR52	0.31403396785856447
NB.CTR53	0.9874653695744985
NB.CTR54	0.7953438803728117
NB.CTR55	0.8928344317133468
NB.CTR56	0.6082913044300525
NB.CTR57	0.8380074647291661
NB.CTR58	0.81053022653162
NB.CTR59	0.7912402910097189
NB.CTR6	0.5735039659926962
NB.CTR60	0.8665855389457076
NB.CTR61	0.8565915713225812
NB.CTR62	0.6259060571612299
NB.CTR63	0.6285891514033819
NB.CTR64	0.6516533906078383
NB.CTR65	0.7026964248954701
NB.CTR66	0.7928919462891616
NB.CTR67	0.8508254464544474
NB.CTR68	0.831446560519713
NB.CTR69	0.6589579994851819
NB.CTR7	0.3924551905931072
NB.CTR71	0.5067973220964721
NB.CTR72	0.13555376834609645
NB.CTR73	0.3447941672237778
NB.CTR74	0.7456528040096195
NB.CTR75	0.7678070759484799
NB.CTR76	0.8278321288081623
NB.CTR77	0.8479281232713317
NB.CTR78	0.840418615526531
NB.CTR79	0.877226869210925
NB.CTR8	0.7333029038301102
NB.CTR80	0.8485480091304546
NB.CTR81	0.780626207381566
NB.CTR82	0.7107102640224161
NB.CTR83	0.5035777556782223
NB.CTR84	0.9262262106842069
NB.CTR85	0.8204694420428663
NB.CTR86	0.8548096652842062
NB.CTR87	0.6978872300753264
NB.CTR88	0.6471321554718024
NB.CTR89	0.8718965399399756
NB.CTR9	0.7887351522729217
NB.CTR90	0.9940467138703611
NB.CTR91	0.788702719099097
NB.CTR92	0.6030287457387223
NB.CTR93	0.9892152266288307
NB.CTR94	0.9579353317724896
NB.CTR95	0.9270176338240569
NB.CTR96	0.7489439590757705
NB.F.PZ18A	0.794626548191019
NB.F.PZ28A	0.8489130784363277
NB.F.PZ28B	0.5910809268379594
NB.M.CTR1	0.7007938992831365
NB.M.CTR10	0.17333370192544184
NB.M.CTR12	0.741015688159115
NB.M.CTR13	0.8178529105055826
NB.M.CTR14	0.3967862633161782
NB.M.CTR15	0.9023631675119511
NB.M.CTR16	0.9180014378206725
NB.M.CTR19	0.5942238030342156
NB.M.CTR2	0.7669883426340472
NB.M.CTR20	0.5593256309797797
NB.M.CTR21	0.6556563443661414
NB.M.CTR22	0.618031585919347
NB.M.CTR23	0.6359153185735918
NB.M.CTR25	0.7952092615911638
NB.M.CTR26	0.5363286854159245
NB.M.CTR28	0.6066606622257628
NB.M.CTR29	0.4738690514677925
NB.M.CTR3	0.5700604637506899
NB.M.CTR30	0.8426304995795281
NB.M.CTR31	0.859286233146262
NB.M.CTR32	0.8395559511745609
NB.M.CTR33	0.7620394100686583
NB.M.CTR34	0.5925313204750857
NB.M.CTR35	0.8348394613755029
NB.M.CTR36	0.9100782817607933
NB.M.CTR37	0.6536334727539754
NB.M.CTR39	0.6812377949568368
NB.M.CTR4	0.5731931300641775
NB.M.CTR40	0.6103059001263196
NB.M.CTR41	0.7967996760573867
NB.M.CTR42	0.6273217153263732
NB.M.CTR43	0.6427415442546104
NB.M.CTR44	0.4314504157258112
NB.M.CTR45	0.9691398099710452
NB.M.CTR46	0.8646199240603092
NB.M.CTR47	0.640262642735112
NB.M.CTR48	0.8418693299037284
NB.M.CTR49	0.9263190122918341
NB.M.CTR5	0.856537288444215
NB.M.CTR50	0.9583778995755341
NB.M.CTR51	0.8952674317382449
NB.M.CTR52	0.6460444607828856
NB.M.CTR53	0.5950844993387635
NB.M.CTR54	0.5604821936708914
NB.M.CTR55	0.7629335706525008
NB.M.CTR56	0.5952997464929014
NB.M.CTR57	0.7553087813704675
NB.M.CTR58	0.734005446774805
NB.M.CTR59	0.6368308437367102
NB.M.CTR6	0.8673294633047854
NB.M.CTR60	0.421460107356393
NB.M.CTR61	0.8629072780469387
NB.M.CTR62	0.6740227799234334
NB.M.CTR63	0.8788658675402536
NB.M.CTR64	0.6738953238415892
NB.M.CTR7	0.7893804474647884
NB.M.CTR8	0.6756310315858065
NB.M.CTR9	0.3740719992188017
NB.M.PZ1	0.41370186027974015
NB.M.PZ10	0.776454494298185
NB.M.PZ11	0.7889348578321894
NB.M.PZ12	0.6338308802979555
