	model_fit
NB.M.PZ5	0.7611303703075203
NB.M.PZ6	0.6773514059862655
NB.M.PZ7	0.8203926996619904
NB.M.PZ8	0.6264778097863791
NB.M.PZ9	0.6914518963792186
NB.PZ1.E1	0.6461949395864518
NB.PZ1.T1.1	0.973945097122876
NB.PZ1.T1.2	0.9338644536959952
NB.PZ1.T2.1	0.8994565826057762
NB.PZ10.E1	0.8205272103571171
NB.PZ11.E1	0.439343042864107
NB.PZ11.T1.1	0.6475981055058897
NB.PZ11.T2.1	0.4183634584153136
NB.PZ12.E1	0.980122458449583
NB.PZ13.E1	0.9706788350939395
NB.PZ13.T1.1	0.5199163869403312
NB.PZ13.T2.1	0.6346961196478583
NB.PZ14.E1	0.20070607782477076
NB.PZ14.T1.1	0.5319275718240922
NB.PZ14.T2.1	0.7862886310447759
NB.PZ14.T3.1	0.6631597023128135
NB.PZ15.E1	0.902772369949604
NB.PZ15.T1.1	0.5978405281386603
NB.PZ15.T2.1	0.9684792548352265
NB.PZ15.T3.1	0.9103927727578237
NB.PZ16.E1	0.9258298410238862
NB.PZ16.T1.1	0.09400448480023231
NB.PZ17.E1	0.4532317482509262
NB.PZ18.E1	0.6983305849575231
NB.PZ18.T1.1	0.2240691562703855
NB.PZ18.T2.1	0.7946264463807632
NB.PZ18.T3.1	0.8270007919081206
NB.PZ19.E1	0.66009074160184
NB.PZ19.T1.1	0.21216691856630923
NB.PZ19.T2.1	0.8843031872724135
NB.PZ19.T3.1	0.9654651084051076
NB.PZ20.E1	0.5658980373111346
NB.PZ21.E1	0.4146546162146866
NB.PZ22.E1	0.795664471874983
NB.PZ23.E1	0.9719430081103739
NB.PZ23.T1.1	0.9877363024656263
NB.PZ23.T2.1	0.9869618309095199
NB.PZ24.E1	0.45086985984100403
NB.PZ24.T1.1	0.4802001735586653
NB.PZ25.E1	0.6068399483041026
NB.PZ26.E1	0.19396650121502307
NB.PZ26.T1.1	0.45012445749729074
NB.PZ26.T2.1	0.42529152117229135
NB.PZ26.T3.1	0.5345523224001969
NB.PZ27.E1	0.7547550329456058
NB.PZ28.E1	0.9454849217430676
NB.PZ28.T1.1	0.7983919615505567
NB.PZ29.E1	0.9880585598202198
NB.PZ29.T1.1	0.8461164144255726
NB.PZ3.E1	0.7274052239183045
NB.PZ3.T1.1	0.4307850738973321
NB.PZ3.T1.2	0.43358962717178057
NB.PZ30.E1	0.5056709155513902
NB.PZ32.E1	0.8820795779702741
NB.PZ32.T1.1	0.8627802643634639
NB.PZ33.E1	0.9764459618173004
NB.PZ4.E1	0.5013757820504441
NB.PZ4.T1.1	0.5370265612887186
NB.PZ4.T2.1	0.38789000387148304
NB.PZ4.T2.2	0.22290673218076085
NB.PZ5.E1	0.3926305152620402
NB.PZ6.E1	0.6027876811445811
NB.PZ6.T1.1	0.845139907686481
NB.PZ7.E1	0.8879795890969735
NB.PZ8.E1	0.15819473180294236
NB.PZ8.T1.1	0.09545429221734117
NB.PZ9.E1	0.4041084124063838
NB.PZ9.T1.1	0.2523645406562715
FB233	0.41326335523141483
FB232	0.96052578472713
FB231	0.6350503106767724
FB230	0.8172092121255679
FB227	0.2946678499755734
FB226	0.2555159117795884
FB225	0.18360243204838844
FB224	0.7440586124772028
FB223	0.6369992283380225
FB221	0.72633364649756
FB220	0.4814604596503127
FB219	0.9606044728800718
FB218	0.5145523617218103
FB217	0.4427489805393673
FB216	0.13278358028861287
FB215	0.6154858000893157
FB214	0.6858672183929392
FB213	0.17367458938053218
FB211	0.5905099705884999
FB210	0.3252499508094146
FB209	0.8764666296628421
FB207	0.6649607101259237
