L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	3.086426927693344e-06	0.0	0.00613244136331743	0.0008678738422375644	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.0	0.0	0.0	0.06507589010688052	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.0	0.0	1.8658759408609493e-07	0.0	0.0895391752737711	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	0.0	0.0	0.01484881038506624	0.0	0.0024845667333486545	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.0	0.0	0.5622755139455994	0.2742905537217204	0.0	0.0	0.024986861457721492
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.0	0.0	0.2958017902242228	0.021513806611080852	0.4930711736589246	0.046609749724118625	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	0.0	0.0	0.05960878173577981	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	0.0	0.0	0.022298233274629937	0.0030773845586017303	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.0	0.0	0.0004165772901435528	0.0010158645047364818	0.0	0.014062907233460945	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	0.0	0.0	0.0014231986796581374	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.0	0.0	2.0431366558053337e-09	0.02071390672673842	0.0	0.033370206813770786	0.00036170475567702764
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	1.3534436309406887e-06	0.0	0.0	0.0025555800739881485	0.0	0.008613296369461707	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.0	0.0	0.003410924802140253	0.00023479836406510883	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	0.0	0.0	0.021840152200552736	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	8.490180004362896e-11	4.385232846427812e-12	3.352448950231971e-16	0.0	0.20989584527002372	1.1971098697832051e-15	0.0
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	0.0	0.0	8.537553176978604e-14	0.0	0.035569087392829137	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	0.0	0.0	0.0	0.0	0.03739519644434931	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.0	0.0	0.0005641182759415089	0.0017547012264060656	0.0012863401467436628	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	0.0	0.0	9.666241830862805e-10	8.040005814367918e-05	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	0.0	0.0	0.038862881201464805	0.0	0.004921192363340533	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	0.0	0.0	0.0	2.418059804864358e-05	0.0	3.163001033209761e-05	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.0004220458437150223	0.0013680995902389005	0.0004808952442761087	0.0	4.099752883592958e-05	0.0001259448076153249	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.0	0.0	0.004583002469259334	0.04733538337808929	0.0	9.996930985544102e-09	0.0027646529641952946
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	1.614684070386116e-07	0.0368610155979388	0.04840519052303504	0.0	0.0	0.0023599977832481755	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	6.576335459809827e-05	0.0017278521282565792	0.0024385133222923575	0.0	0.00014767410468742378	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.0	0.0	0.0	0.004831494556335222	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.0	0.0	0.0015602649069504115	0.002159798175720325	0.0	0.000617683197382065	1.2343374450062185e-13
